"Skill","Average Salary","Change from 2023"
"Service Oriented Architecture (SOA)","$152,026","10%"
"Elasticsearch","$139,549","3%"
"Ruby","$136,920","13%"
"Apache Kafka","$136,526","3%"
"Redis","$136,357","5%"
"JDBC","$135,486","7%"
"Containers","$135,358","6%"
"Go / Golang","$134,727","10%"
"Hadoop","$134,652","7%"
"Amazon Redshift","$134,103","15%"
"REST","$133,970","0%"
"Dynamo DB","$133,881","6%"
"Confluence","$133,616","2%"
"RDS","$132,238","2%"
"Machine Learning","$132,150","8%"
"Docker","$132,051","-2%"
"DevOps","$131,947","4%"
"Natural Language Processing","$131,621","21%"
"Kubernetes","$131,375","-1%"
"PostgreSQL","$131,315","-1%"
"Amazon Route 53","$131,229","2%"
"EDI","$130,659","15%"
"Lucidchart","$130,306","8%"
"Artificial Intelligence","$130,277","12%"
"COBOL","$130,243","15%"
"Transact-SQL (T-SQL)","$130,178","6%"
"TensorFlow","$130,151","9%"
"RDBMS","$130,038","-2%"
"SSIS","$129,948","7%"
"MPLS","$129,850","6%"
"OLAP","$129,570","3%"
"ETL","$129,405","0%"
"Spark","$129,274","4%"
"ERP","$129,187","8%"
"C","$129,178","11%"
"Data Warehouse","$129,145","8%"
"Perl","$129,130","3%"
"Load Balancers","$129,081","-1%"
"Big Data","$128,505","7%"
"ASP.net","$128,421","7%"
"Amazon CloudFront","$128,311","7%"
"Amazon S3","$128,206","0%"
"SDN","$128,138","3%"
"PAAS","$128,016","-6%"
"MariaDB","$127,797","9%"
"AWS Lambda","$127,769","2%"
"TOAD","$127,523","4%"
"Ansible","$127,383","7%"
"Jenkins","$127,177","-2%"
"Document Databases","$127,089","21%"
"BASH","$126,473","2%"
"JIRA","$126,048","-2%"
"Java/J2EE","$126,043","2%"
"ETL Testing","$126,042","5%"
"SoapUI","$125,977","3%"
"JUnit","$125,928","-1%"
"TypeScript","$125,617","3%"
"Tomcat","$125,449","1%"
"Data Science","$125,202","7%"
"Angular","$125,197","6%"
"Cloud Computing","$124,796","0%"
"Fibre Channel","$124,716","10%"
"SAN","$124,688","3%"
"Pytorch","$124,360","--"
"Selenium","$124,265","1%"
"Nginx","$124,236","-2%"
"Business Intelligence","$124,198","5%"
