"military_annual_salary","years_of_service","rank_level","rank_category_binary","branch_army","branch_navy","skill_ordinal","civilian_salary_multiple","experience_level"
24168,2,1,0,1,0,6,2.75364117841774,"Entry"
24168,2,1,0,1,0,6,2.75364117841774,"Entry"
24168,2,1,0,0,1,6,2.75364117841774,"Entry"
24168,2,1,0,0,1,6,2.75364117841774,"Entry"
24168,2,1,0,1,0,2,2.75364117841774,"Entry"
24168,2,1,0,1,0,2,2.75364117841774,"Entry"
24168,2,1,0,0,1,2,2.75364117841774,"Entry"
24168,2,1,0,1,0,5,2.75364117841774,"Entry"
24168,2,1,0,1,0,5,2.75364117841774,"Entry"
24168,2,1,0,0,1,5,2.75364117841774,"Entry"
24168,2,1,0,0,1,5,2.75364117841774,"Entry"
24168,2,1,0,0,0,5,2.75364117841774,"Entry"
24168,2,1,0,1,0,4,2.75364117841774,"Entry"
24168,2,1,0,1,0,2,2.75364117841774,"Entry"
24168,2,1,0,0,1,4,2.75364117841774,"Entry"
24168,2,1,0,0,1,4,2.75364117841774,"Entry"
24168,2,1,0,0,0,4,2.75364117841774,"Entry"
24168,2,1,0,0,1,6,2.75364117841774,"Entry"
24168,2,1,0,0,1,6,2.75364117841774,"Entry"
24168,2,1,0,0,0,6,2.75364117841774,"Entry"
24168,2,1,0,1,0,3,2.75364117841774,"Entry"
24168,2,1,0,0,1,3,2.75364117841774,"Entry"
24168,2,1,0,0,1,3,2.75364117841774,"Entry"
24168,2,1,0,0,0,3,2.75364117841774,"Entry"
24168,2,1,0,1,0,6,2.75364117841774,"Entry"
24168,2,1,0,0,1,6,2.75364117841774,"Entry"
24168,2,1,0,0,0,6,2.75364117841774,"Entry"
24168,2,1,0,1,0,1,2.75364117841774,"Entry"
24168,2,1,0,0,1,1,2.75364117841774,"Entry"
24168,2,1,0,0,0,1,2.75364117841774,"Entry"
27132,2,1,0,1,0,6,2.45282323455698,"Entry"
27132,2,1,0,0,1,6,2.45282323455698,"Entry"
27132,2,1,0,0,1,6,2.45282323455698,"Entry"
27132,2,1,0,0,0,6,2.45282323455698,"Entry"
27132,2,1,0,1,0,2,2.45282323455698,"Entry"
27132,2,1,0,1,0,2,2.45282323455698,"Entry"
27132,2,1,0,1,0,5,2.45282323455698,"Entry"
27132,2,1,0,1,0,5,2.45282323455698,"Entry"
27132,2,1,0,0,1,5,2.45282323455698,"Entry"
27132,2,1,0,0,0,5,2.45282323455698,"Entry"
27132,2,1,0,0,1,4,2.45282323455698,"Entry"
27132,2,1,0,0,0,4,2.45282323455698,"Entry"
27132,2,1,0,1,0,6,2.45282323455698,"Entry"
27132,2,1,0,0,1,6,2.45282323455698,"Entry"
27132,2,1,0,0,1,6,2.45282323455698,"Entry"
27132,2,1,0,0,0,6,2.45282323455698,"Entry"
27132,2,1,0,1,0,3,2.45282323455698,"Entry"
27132,2,1,0,0,1,3,2.45282323455698,"Entry"
27132,2,1,0,0,1,3,2.45282323455698,"Entry"
27132,2,1,0,0,0,3,2.45282323455698,"Entry"
27132,2,1,0,1,0,6,2.45282323455698,"Entry"
27132,2,1,0,0,1,6,2.45282323455698,"Entry"
27132,2,1,0,0,0,6,2.45282323455698,"Entry"
27132,2,1,0,1,0,1,2.45282323455698,"Entry"
27132,2,1,0,0,1,1,2.45282323455698,"Entry"
27132,2,1,0,0,0,1,2.45282323455698,"Entry"
29856,2,1,0,1,0,6,2.22903269024652,"Entry"
29856,2,1,0,1,0,6,2.22903269024652,"Entry"
29856,2,1,0,0,1,6,2.22903269024652,"Entry"
29856,2,1,0,0,1,6,2.22903269024652,"Entry"
29856,2,1,0,0,0,6,2.22903269024652,"Entry"
29856,2,1,0,1,0,2,2.22903269024652,"Entry"
29856,2,1,0,1,0,2,2.22903269024652,"Entry"
29856,2,1,0,0,1,2,2.22903269024652,"Entry"
29856,2,1,0,1,0,5,2.22903269024652,"Entry"
29856,2,1,0,0,1,5,2.22903269024652,"Entry"
29856,2,1,0,1,0,4,2.22903269024652,"Entry"
29856,2,1,0,1,0,2,2.22903269024652,"Entry"
29856,2,1,0,0,1,4,2.22903269024652,"Entry"
29856,2,1,0,0,0,4,2.22903269024652,"Entry"
29856,2,1,0,1,0,6,2.22903269024652,"Entry"
29856,2,1,0,0,1,6,2.22903269024652,"Entry"
29856,2,1,0,0,1,6,2.22903269024652,"Entry"
29856,2,1,0,0,0,6,2.22903269024652,"Entry"
29856,2,1,0,1,0,3,2.22903269024652,"Entry"
